2026-05-07 10:49:27,816 | INFO | app.services.llm.openrouter_service | OpenRouter initialized with model: nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free
2026-05-07 10:49:27,832 | INFO | app.services.llm.openrouter_service | Sending request to OpenRouter
2026-05-07 10:49:30,754 | INFO | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 10:49:41,650 | INFO | app.services.llm.openrouter_service | Received response from OpenRouter
2026-05-07 10:54:56,372 | INFO | app.agents.coordinator.agent | Coordinator received query: Future of EV adoption in India
2026-05-07 10:54:56,373 | INFO | app.agents.researcher.agent | Research Agent Started
2026-05-07 10:54:56,457 | INFO | app.services.llm.openrouter_service | OpenRouter initialized with model: nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free
2026-05-07 10:54:56,457 | INFO | app.services.llm.openrouter_service | Sending request to OpenRouter
2026-05-07 10:54:58,436 | INFO | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 10:55:02,374 | INFO | app.services.llm.openrouter_service | Received response from OpenRouter
2026-05-07 10:55:02,374 | INFO | app.agents.researcher.agent | Research Agent Completed
2026-05-07 10:55:02,374 | INFO | app.agents.analyst.agent | Analyst Agent Started
2026-05-07 10:55:02,408 | INFO | app.services.llm.openrouter_service | OpenRouter initialized with model: nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free
2026-05-07 10:55:02,410 | INFO | app.services.llm.openrouter_service | Sending request to OpenRouter
2026-05-07 10:55:03,621 | INFO | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 10:55:11,153 | INFO | app.services.llm.openrouter_service | Received response from OpenRouter
2026-05-07 10:55:11,154 | INFO | app.agents.analyst.agent | Analyst Agent Completed
2026-05-07 10:55:11,156 | INFO | app.agents.writer.agent | Writer Agent Started
2026-05-07 10:55:11,190 | INFO | app.services.llm.openrouter_service | OpenRouter initialized with model: nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free
2026-05-07 10:55:11,191 | INFO | app.services.llm.openrouter_service | Sending request to OpenRouter
2026-05-07 10:55:13,546 | INFO | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 502 Bad Gateway"
2026-05-07 10:55:13,547 | INFO | openai._base_client | Retrying request to /chat/completions in 0.445633 seconds
